country_id,country_name,year,gas_price,oil_price,rig_count,tam,capex
4,AFGHANISTAN,2026,2.6512759,50.10506,0,0.00046976938282852196,0.0007081243604607731
4,AFGHANISTAN,2027,2.6246116,49.915318,0,0.0004584949173559091,0.0007138477387976615
4,AFGHANISTAN,2028,2.5979474,49.725582,0,0.0005120562439678852,0.0006194278071608934
4,AFGHANISTAN,2029,2.5712833,49.535843,0,0.0004667017022463632,0.0006579447735075336
4,AFGHANISTAN,2030,2.5474424,49.34611,0,0.00045941601804975763,0.0006250917661242115
8,ALBANIA,2026,2.6512759,50.10506,64,3.4616109279912894,3.659820841498846
8,ALBANIA,2027,2.6246116,49.915318,62,3.185810476821471,3.4961759587387156
8,ALBANIA,2028,2.5979474,49.725582,64,3.6397480054846723,3.2966399993721582
8,ALBANIA,2029,2.5712833,49.535843,63,3.140247644845929,3.1142054582037266
8,ALBANIA,2030,2.5474424,49.34611,60,3.7665303375755617,3.2830493784898187
24,ANGOLA,2026,2.6512759,50.10506,258,23.89350139728188,21.871656798858453
24,ANGOLA,2027,2.6246116,49.915318,219,21.294301500562582,23.704830240057323
24,ANGOLA,2028,2.5979474,49.725582,224,20.41875969566159,23.287590605095232
24,ANGOLA,2029,2.5712833,49.535843,217,24.089356739961566,24.419231424884973
24,ANGOLA,2030,2.5474424,49.34611,230,23.59716945335741,22.538123655709054
